ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Nama Usaha dan/atau Nama Kegiatan,Jenis Usaha dan/atau Kegiatan,Alamat Usaha dan/atau Kegiatan,Kabupaten/Kota,NAMA DAS  :,BAGIAN DAS :,LOKASI PEMANTAUAN ,Nama Penanggung Jawab Bidang Lingkungan,Nomor Telepon Penanggungjawab Bidang Lingkungan,Email,Jenis B3 yang dipergunakan :,Kategori Bahaya B3 yang digunakan :,Sumber Limbah B3 :,Other - Sumber Limbah B3 :,Jenis Timbulan Limbah B3 Non Spesifik :,Jenis Timbulan Limbah B3 Spesifik Khusus :,Sebutkan jenis kegiatan yang berpotensi menimbulkan limbah B3 spesifik umum : ,Kode Kegiatan 301 Pupuk dan Bahan Senyawa Nitrogen :,Kode Kegiatan 303 Pestisida dan produk agrokimia :,Kode Kegiatan 304	Resin adesif Fenol formaldehida (PF) :,Jumlah limbah B3 yang dikelola :,Berapa jumlah TPS Limbah B3 yang dimiliki oleh perusahaan :,Apakah perusahaan telah bekerjasama dengan Pihak Ketiga dalam pengelolaan lanjutan Limbah B3? ,Pihak III Pengumpul LB3 :,Nomor Izin Pengumpulan Limbah B3 : ,Pihak III Pemanfaat LB3 : ,Nomor Izin Pemanfaatan Limbah B3 : ,Pihak III Pengolah LB3 : ,Nomor Izin Pengolahan Limbah B3 : ,Pihak III Penimbun LB3 :  ,Nomor Izin Penimbunan Limbah B3 : ,Sebutkan nama Perusahaan Pengangkut LB3 :  ,Sebutkan Nama perusahaan yang ditunjuk sebagai Pengangkut Limbah B3 :,Nomor Izin Pengangkutan Limbah B3 :,Tanggal Pemantauan :,Jumlah B3 yang digunakan :,Kode Kegiatan 305    Polimer Kegiatan Produksi,Kode Kegiatan 306    Petrokimia Industri yang menghasilkan produk organik,Kode Kegiatan 307   Kilang Minyak dan Gas Bumi,Kode Kegiatan 308   Pengawetan Kayu,Kode Kegiatan 309   Peleburan Besi dan Baja,Kode Kegiatan 310   Operasi Penyempurnaan Baja,Kode Kagiatan 311   Peleburan Timah Hitam (Pb),Kode Kegiatan 312   Peleburan dan Pemurnian Tembaga (Cu),Kode Kegiatan 313   Peleburan Aluminium dan Pelapisan Aluminium,Kode Kegiatan 314   Peleburan dan Penyempurnaan Seng (Zinc),Kode Kegiatan 315   Peleburan Nikel (Ni),Kode Kegiatan 316   Thermal Metallurgi emas dan Perak,Kode Kegiatan 317   Proses Logam Non Ferro,Kode Kegiatan 318   Industri Peleburan Aki Bekas,Kode Kegiatan 319   Industri Peleburan Timah Putih (Sn),Kode Kegiatan 320   Industri Peleburan Mangan (Mn),Kode Kegiatan 321   Tinta dan Kegiatan yang menggunakan Tinta,Kode Kegiatan 322   Tekstil mencakup Kegiatan Pemutihan dan Pencelupan,"Kode Kegiatan 323   Manufaktur, Perakitan dan Pemeliharaan Kendaraan dan Mesin",Kode Kegiatan 324   Elektroplating dan galvanis,Kode Kegiatan 325   Cat mencakup Kegiatan Varnish dan Pelapisan dengan Bahan Lainnya,Kode Kegiatan 326   Baterai sel kering dan Pemanfaatan Baterai Bekas,Kode Kegiatan 327      Baterai sel basah,Kode Kegiatan 328   Perakitan Komponen elektronik atau Peralatan elektronik,Kode Kegiatan 329   Rekondisi atau Remanufacturing Barang elektronik,"Kode Kegiatan 330   Eksplorasi dan produksi minyak, gas, dan pans bumi",Kode Kegiatan 331 Pertambangan ,Kode Kegiatan 332   Semua Jenis Industri yang Menghasilkan atau Menggunakan Listrik,Kode Kegiatan 333   Pembangkit Listrik Tenaga Uap atau Industri yang menggunakan Batu Bara,Kode Kegiatan 334   Penyamakan Kulit,Kode Kegaiatan 335   Zat Warna dan Pigmen,Kode Kegiatan 336 Farmasi,Kode Kegiatan 337   Rumah Sakit dan Fasilitas Pelayanan Kesehatan,Kode Kegiatan 338   Laboratorium Riset dan Komersial termasuk Industri yang memiliki Laboratorium,Kode Kegiatan 339   Fotografi,Kode Kegiatan 340   Daur Ulang Minyak Pelumas Bekas ,"Kode Kegiatan 341 Sabun deterjen, produk pembersih, desinfektan, atau kosmetik",Kode Kegiatan 342 Pengolahan minyak hewani atau nabati,Kode Kegiatan 343 Pengolahan oleokimia dasar ,Kode Kegiatan 344 Metal hardening,Kode Kegiatan 345 Metal dan plastic shaping,Kode Kegiatan 346 Laundry dan dry cleaning,Kode Kegiatan 347 Pengoperasian insinerator Limbah,Kode Kegiatan 348 Daur ulang pelarut bekas,Kode Kegiatan 349 Filter dan absorben bekas,"Kode Kegiatan 350 Seal, Gasket, dan Packing",Kode Kegiatan 351 Pulp dan kertas,Kode Kegiatan 352 Chemical atau industial cleaning,Kode Kegiatan 353 Fotokopi,Kode Kegiatan 354 Semua jenis industri konstruksi,Kode Kegiatan 355 Bengkel pemeliharaan kendaraan,Kode Kegiatan 356 Gas industri,Kategori Bahaya LB3 yang dihasilkan:,KECAMATAN,DESA  ,Other - DESA  ,LATITUDE :,LONGITUDE :,1. Temperature/C :,2. Total Dissolved Solid (mg/L),3. Total Suspended Solid (mg/L),4. Color** (Pt-Co),5. pH (pH),6. Chemical Oxygen Demand (mg/L),7. Biochemical Oxygen Demand (mg/L),8. Dissloved Oxygen (mg/L),9. Sulphate (mg/L),10. Chloride (mg/L),11. Nitrate (mg/L),12. Nitrite (mg/L),13. Ammonia (mg/L),14. Total Nitrogen** (mg/L),15. Total Phosephate (mg/L),16. Fluoride (mg/L),17. Sulfide (mg/L),18. Cyanide (mg/L),19. Free CI2 ,20 Dissloved Boron (mg/L),21. Dissloved Mercury (mg/L),22. Dissloved Arsen (mg/L),23. Dissloved Selenium (mg/L),24. Dissloved Cadmium (mg/L),25. Dissloved Cobalt (mg/L),26. Dissloved Nickel (mg/L),27. Dissloved Zinc (mg/L),28. Dissloved Copper (mg/L),29. Dissloved Lead (mg/L),30. Hexavalent Chromium (mg/L),31. Oil&Grease (mg/L),32. Total Sufractant (mg/L),33. Phenol (mg/L),34. Fecal Coliform (MPN/100 ML),35. Total Coliform (MPN/100 ML),Tahun Pemantauan,Semester ,x,y
3,ffaf2e2b-c633-49cc-8feb-8a0c7d67b509,8/1/2024 1:23:34 AM,,8/1/2024 1:23:34 AM,,,,,,REJOSO,Hulu,"Bagian Hulu Jembatan Dekat Umbulan , Desa Umbulan , Kec. Winongan",,,,,,,,,,,,,,,,,,,,,,,,,,,,5/30/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINONGAN,UMBULAN,,-7.74956111,112.9396472,27.7,113.9,4,16,7.89,4,0.625,7,5,6,2,0.0292,0.00454,2,0.0292,0.277,0.00053,0.002,0.02,0.0186,0.001,0.01,0.001,0.0047,0.028,0.019,0.007,0.0093,0.0044,0.0042,0.401,0.0029,0.0155,19,350,2024,choice_3,112.9396472,-7.74956111
4,4b360dab-039b-4e60-887b-e961caaf3462,8/1/2024 2:10:19 AM,,8/1/2024 7:34:19 AM,portaladmindlh,,,,,KAMBENG,Hilir,Bagian Hilir Jembatan Jl. Raya Ds. Carat Kec. Gempol,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEMPOL,CARAT,,-7.56276388,112.6844306,26.4,242,2,22,8.07,5,0.42,6,32,32,4,0.00253,0.0001,4,0.00253,0.269,0.0287,0.002,0.02,0.0154,0.0005,0.008,0.007,0.0074,0.023,0.025,0.01,0.0082,0.0092,0.0072,0.401,0.0135,0.0928,430,2400,2024,choice_3,112.684430599998,-7.56276387999989
5,09d0601f-0989-4a0e-81fd-31a3eb0ac466,8/1/2024 2:16:41 AM,,8/1/2024 2:16:41 AM,,,,,,REJOSO,Tengah,"Bagian Tengah Jembatan Jl. Raya Ds. Patuguhan , Kec. Rejoso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,5/30/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REJOSO,PATUGUHAN,,-7.68513611,112.9600472,26.5,200.1,6,14,7.96,4,0.83,5,26,28,3,0.00635,0.00034,3,0.00635,0.31,0.0074,0.002,0.02,0.005,0.0003,0.008,0.008,0.0053,0.034,0.013,0.004,0.0063,0.0144,0.0052,0.4,0.0021,0.0357,18,140,2024,choice_3,112.9600472,-7.68513611000001
6,622027e5-0649-4776-8c0a-df3041725176,8/1/2024 2:21:29 AM,,8/1/2024 2:21:29 AM,,,,,,KAMBENG,Tengah,Bagian Tengah Jembatan Jeruk Purut Kec. Gempol,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEMPOL,JERUK PURUT,,-7.59323333,112.6886444,27.4,117.9,1,18,8.2,5,0.83,6,29,18,5,0.00192,0.00134,5,0.00192,0.204,0.0213,0.002,0.03,0.015,0.0008,0.011,0.007,0.0086,0.014,0.036,0.008,0.0067,0.0092,0.0046,0.402,0.0211,0.0155,17,930,2024,choice_3,112.6886444,-7.59323333
7,66900e8b-cc09-4650-8681-c55847958b1a,8/1/2024 2:31:40 AM,,8/1/2024 7:33:36 AM,portaladmindlh,,,,,KAMBENG,Hulu,Bagian Hulu Jembatan Ds. Lumbang Rejo Kec. Prigen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIGEN,LUMBANGREJO,,-7.68065277,112.6322556,26.4,86.2,4,7,7.74,6,0.21,8,22,8,1,0.00336,0.00026,1,0.00336,0.0153,0.0096,0.002,0.01,0.0059,0.0004,0.004,0.008,0.0086,0.022,0.024,0.01,0.0069,0.0092,0.0039,0.401,0.006,0.0264,180,1665,2024,choice_3,112.632255599998,-7.68065276999987
8,82774a12-cdc3-4096-858e-3d342c8e6269,8/1/2024 2:32:17 AM,,8/1/2024 2:32:17 AM,,,,,,REJOSO,Hilir,"Bagian Hilir Jembatan Tambak Patuguhan-Jarangan Ds. Jarangan , Kec. Rejoso",,,,,,,,,,,,,,,,,,,,,,,,,,,,5/30/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REJOSO,JARANGAN,,-7.64971666,112.9533611,26.7,217,4,22,7.91,4,0.83,5,23,38,2,0.00937,0.00017,2,0.00937,0.326,0.0085,0.002,0.02,0.0068,0.0002,0.008,0.009,0.0046,0.032,0.01,0.008,0.0068,0.014,0.0032,0.407,0.001,0.0078,17,150,2024,choice_3,112.9533611,-7.64971666000001
9,a5910521-d6af-4f78-85f4-210d2710cc08,8/1/2024 2:46:27 AM,,8/1/2024 7:32:58 AM,portaladmindlh,,,,,WELANG,Hulu,Bagian Hulu Jembatan Ds. Cowek Kec. Purwodadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PURWODADI,COWEK,,-7.72245833,112.0760611,27.4,164.1,2,23,8.59,6,0.42,7,30,18,4,0.0137,0.00031,4,0.0137,0.208,0.0287,0.002,0.02,0.0101,0.0005,0.008,0.003,0.0077,0.025,0.025,0.009,0.0073,0.014,0.0052,0.4,0.0177,0.0254,210,2100,2024,choice_3,112.076061099998,-7.72245832999989
10,ffe6abe9-ae82-4628-87d4-25ad0c76dc4a,8/1/2024 2:53:29 AM,,8/1/2024 2:53:29 AM,,,,,,LAWEYAN,Hulu,"Bagian Hulu Gang Makam Ds. Wates Tani , Kec. Nguling",,,,,,,,,,,,,,,,,,,,,,,,,,,,5/30/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGULING,WATESTANI,,-7.722167,113.075972,27.5,319.3,2,17,7.74,5,2,3,30,22,6,0.0429,0.26,6,0.0429,0.597,0.0064,0.003,0.03,0.0185,0.0008,0.008,0.006,0.046,0.039,0.022,0.005,0.0086,0.0104,0.0064,0.402,0.0257,0.0513,750,930,2024,choice_3,113.075972,-7.722167
12,b1d7c076-3e93-4ec3-8201-687ab805e069,8/1/2024 3:08:43 AM,,8/1/2024 7:28:27 AM,portaladmindlh,,,,,LAWEYAN,Tengah,"Bagian Tengah Jembatan Nguling Tongas Ds. Penunggul , Kec. Nguling",,,,,,,,,,,,,,,,,,,,,,,,,,,,5/30/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGULING,PENUNGGUL,,-7.717895,113.08,27.4,322.9,1,14,7.78,4,2,3,30,27,2,0.0416,0.00406,2,0.0416,0.572,0.0001,0.002,0.02,0.0197,0.0006,0.007,0.004,0.0052,0.046,0.02,0.004,0.0088,0.0092,0.0053,0.402,0.0117,0.0379,403,2100,2024,choice_3,113.079999999996,-7.71789499999975
13,efcd1fd8-8c3a-45ba-8b3a-8a514b509f18,8/1/2024 3:11:04 AM,,8/1/2024 3:11:04 AM,,,,,,WELANG,Tengah,Bagian Tengah Utara PT. Cara Kulit Kraton DS. Bendungan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/29/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRATON,BENDUNGAN,,-7.62911666,112.8747056,28.1,253.6,2,18,8.05,4,0.42,6,25,21,4,0.0181,0.00503,4,0.0181,0.35,0.0001,0.002,0.02,0.0185,0.0008,0.002,0.01,0.0046,0.014,0.013,0.002,0.0088,0.0092,0.0017,0.396,0.0018,0.0855,18,430,2024,choice_3,112.8747056,-7.62911666000001
